"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","data_name"
"Recall",0.999185667752443,0.0236156351791531,0.0215798045602606,0,0.0346091205211726,0.457247557003257,0.598941368078176,0.998778501628665,0,0,0.0118078175895765,0.00407166123778502,0.333469055374593,0.492671009771987,0.932410423452769,0.585504885993485,0.592019543973942,0,0.793973941368078,0.80985342019544,0.856270358306189,"PhosS.csv"
"Precision",0.054277750296415,0.434203438460404,0.42470584970585,0,0.394592727674624,0.15706234068611,0.160367986693104,0.0539619919998932,0,0,0.141477930852931,0.6,0.22847962107647,0.184520538540732,0.0609123995738193,0.1016911172113,0.101771188466885,0,0.0757590193025048,0.0759016146739575,0.0757979799790971,"PhosS.csv"
"Gmean",0.0997937845605955,0.152659949078809,0.145559000003751,0,0.185025724242188,0.626975576963224,0.701289446962858,0.0650826729310069,0,0,0.104325908379963,0.0528903624768327,0.558454001461153,0.656704012892421,0.408893885103871,0.641766266667112,0.643841521267074,0,0.59508028328189,0.594783229226436,0.58761894793442,"PhosS.csv"
"Fmeasure",0.102962364027529,0.0447462188988139,0.0409855405631718,0,0.0635470861444604,0.233702780342265,0.252918303136255,0.102391946530986,0,0,0.0216748495597045,0.00805954797890282,0.270973986202938,0.268301863318772,0.114341580828822,0.173141467143493,0.173526381333631,0,0.138271562229443,0.138757978831641,0.13922942451924,"PhosS.csv"
"AUC",0.504616912409283,0.510939601253218,0.509956414597226,0.5,0.515776499508595,0.658819185058399,0.710218044661425,0.50155400354632,0.5,0.5,0.503982256636981,0.502001101965438,0.634668404331119,0.684333282252172,0.556951183202584,0.644854684152512,0.646595528608567,0.5,0.620674227583465,0.623832989038264,0.630371704435554,"PhosS.csv"
